feature,feature_group,missing_count,missing_rate,non_null_rows,non_null_rate,first_valid_month,last_valid_month,dropped,drop_reason
volume_ma3_to_12m,volume_flow,92,0.002167153491001602,42360,0.9978328465089984,2016-01-31,2026-06-30,False,
price_ma100_ratio,trend,85,0.0020022613775558277,42367,0.9979977386224441,2016-01-31,2026-06-30,False,
drawdown_change_3m,drawdown_recovery,82,0.0019315933289362104,42370,0.9980684066710638,2016-01-31,2026-06-30,False,
volume_change_1m,volume_flow,79,0.0018609252803165929,42373,0.9981390747196834,2016-01-31,2026-06-30,False,
dollar_volume_change_1m,volume_flow,79,0.0018609252803165929,42373,0.9981390747196834,2016-01-31,2026-06-30,False,
mom_4m,core_momentum,73,0.001719589183077358,42379,0.9982804108169226,2016-01-31,2026-06-30,False,
core_mom_456_avg,core_momentum,73,0.001719589183077358,42379,0.9982804108169226,2016-01-31,2026-06-30,False,
core_mom_456_min,core_momentum,73,0.001719589183077358,42379,0.9982804108169226,2016-01-31,2026-06-30,False,
core_mom_456_max,core_momentum,73,0.001719589183077358,42379,0.9982804108169226,2016-01-31,2026-06-30,False,
ret_lag_4m,sequence_path,73,0.001719589183077358,42379,0.9982804108169226,2016-01-31,2026-06-30,False,
ma50_slope_1m,trend,59,0.00138980495618581,42393,0.9986101950438142,2016-01-31,2026-06-30,False,
mom_6m_last3m,core_momentum,54,0.0012720248751531141,42398,0.9987279751248469,2016-01-31,2026-06-30,False,
ret_lag_3m,sequence_path,54,0.0012720248751531141,42398,0.9987279751248469,2016-01-31,2026-06-30,False,
rel_mom_3m_vs_qqq,relative_strength,54,0.0012720248751531141,42398,0.9987279751248469,2016-01-31,2026-06-30,False,
mom_3m,other_momentum,54,0.0012720248751531141,42398,0.9987279751248469,2016-01-31,2026-06-30,False,
volatility_6m,risk_drawdown,54,0.0012720248751531141,42398,0.9987279751248469,2016-01-31,2026-06-30,False,
return_vol_ratio_3m,risk_drawdown,54,0.0012720248751531141,42398,0.9987279751248469,2016-01-31,2026-06-30,False,
volatility_1m_to_6m,vol_structure,54,0.0012720248751531141,42398,0.9987279751248469,2016-01-31,2026-06-30,False,
volatility_3m_to_6m,vol_structure,54,0.0012720248751531141,42398,0.9987279751248469,2016-01-31,2026-06-30,False,
